RFQ ID,Date Created,Requirement Name,Product/Service,Quantity,Unit,Category,Customer Name,Customer Email,Customer Phone,Required Delivery Date,Status,Vendors Contacted,Vendors Responded,Best Vendor,Best Price (USD),Best Delivery Days,Payment Terms,Notes
RFQ-MLN-0011,2026-08-30,MLN 40- SAWDUST,Dust Collection Bag,50,Piece,Supplies,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-08,Closed,"Dilsen",1,"Dilsen",125,2,"Net 30 Days","Regular supplier"
RFQ-NVS-0012,2026-08-29,NVS 3- VALCOM,Valve Assembly,1,Piece,Ship Systems,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-13,Closed,"Mono Marine",1,"Mono Marine",650,3,"Net 30 Days","Technical drawing provided"
RFQ-ARD-0013,2026-08-28,ARD REQ 0012- FLEXIBLE HOSE,Flexible Hose 1'' R9,80,Meter,Hydraulics,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-12,Open,"Hortumsan Hidrolik, Altan Hidrolik",1,Pending,,,Specifications to be confirmed
RFQ-KAZAN-0014,2026-08-27,KAZAN & KELEBEK VALVE,"Boiler Valve DN100 + Butterfly Valve DN32",3,Set,Ship Systems,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-15,Closed,"ATA Valve, Kelebek Valve",2,"ATA Valve",330,1,"Net 30 Days","High temp viton seat"
RFQ-MSC-0015,2026-08-26,MSC - 3 WAY VALVE,Three-Way Valve Assembly,1,Piece,Ship Systems,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-14,Waiting,"ATA Valve, Valve Specialists",1,Pending,206,2,"Net 30 Days","Operating description provided"
RFQ-WIRE-0016,2026-08-25,WIRE ROPE NET,Synthetic Rope Net 20-30mm,4,Piece,Safety,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-10,Closed,"Marine Ropes Co",1,"Marine Ropes Co",20,1,"Cash","Stock available"
RFQ-AMOT-0017,2026-08-24,AMOT- THERMOSTATIC VALVE,Thermostatic Control Valve,1,Piece,Mechanical,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-18,Waiting,"GANI Ship Spares, AMOT Supplier",1,Pending,,,Vessel/IMO info needed
RFQ-KLT-0018,2026-08-23,KLT 84- ODME KSB SEIL,Seal/Bearing Assembly,1,Set,Mechanical,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-12,Closed,"RF International",1,"RF International",1200,5,"Bank Transfer","Euro pricing"
RFQ-EFRMV-0019,2026-08-22,EFRMV - 58 Azcue Pump,Pump Mechanical Seal,1,Piece,Pumps,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-11,Open,"Gücü Pompa, Pump Specialists",1,Pending,350,1,"Prepaid","Waiting for confirmation"
RFQ-POSE-0020,2026-08-21,POSE 51- CONSUMABLE,Consumables Bundle,1,Box,Supplies,Arctic Operations,operations@arcticshiprepair.com,+90 551 383 5527,2026-09-15,Closed,"Arma Ship Supply",1,"Arma Ship Supply",1500,3,"Net 30 Days","Regular consumable order"
